YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,MAM,JJA,SON,DJF,ANN
1922,24.7,24.8,25,22.5,22.1,19.9,18.9,20.5,21.5,23.6,25,25.4,23.2,19.8,23.4,25.6,22.8
1923,26,25.4,25.6,24.6,23.1,20.7,20.5,20.1,22.9,24.3,25.7,25.2,24.5,20.4,24.3,25.3,23.7
1924,25.7,25.1,25.8,23.8,23,20.7,20.4,21.1,22.6,23.8,24.9,24.7,24.2,20.7,23.8,25,23.5
1925,25.3,25.1,24.8,24.5,21.9,21.9,20.9,20.4,21.2,24.5,24.9,25.2,23.7,21.1,23.5,25.8,23.4
1926,26.2,25.8,26.2,25.2,23.1,21.9,20.5,21.2,23.3,24.6,26,25.4,24.9,21.2,24.6,25.5,24.1
1927,25.5,25.4,24.7,24.2,22.6,20.7,19.4,21,22.4,24.3,25,25.8,23.8,20.4,23.9,25.4,23.4
1928,24.9,25.5,25.5,25,23.2,20.5,19.9,20.8,22.3,24.5,25.4,25,24.6,20.4,24.1,25.1,23.6
1929,26,24.2,25.9,24.6,22.5,21.3,20.6,20.8,22.5,25.2,25.6,24.7,24.3,20.9,24.5,25,23.7
1930,24.8,25.5,25,24.1,21.5,20.2,19.6,19.9,23.6,23.7,25.4,25.3,23.5,19.9,24.2,25,23.2
1931,24.9,24.9,24.7,23.8,22.1,20.1,19.7,20.1,21.2,22.8,23.8,24.6,23.5,20,22.6,25,22.7
1932,25.6,24.9,25.1,23.4,21.3,20.3,19.8,20.5,21.6,23.3,25.2,24.8,23.3,20.2,23.4,24.9,23
1933,25.4,24.6,24.5,23.8,22.2,20.3,19.8,20.4,20.9,23.8,25.4,24.8,23.5,20.1,23.4,24.9,23
1934,25.1,24.9,25.2,24.1,22.5,19.4,19.7,19.5,21.2,23.3,24.6,24.3,23.9,19.5,23,24.7,22.8
1935,25.2,24.7,25.2,23.5,22.8,20.5,18.6,20.6,22.7,24.1,24.2,24.6,23.9,19.9,23.6,25.2,23.1
1936,25.2,25.9,25.4,24.1,22.7,20.1,19.6,20,21.8,24.6,25,24.7,24.1,19.9,23.8,25,23.3
1937,25.1,25.3,24.7,24,22.1,21.1,19.6,20.3,22.9,23.5,25.9,25.1,23.6,20.3,24.1,25.3,23.3
1938,25.6,25.2,25.3,24.5,22.8,20.2,20.3,20.9,22.1,23.7,24,25.4,24.2,20.4,23.3,25.5,23.3
1939,25.6,25.5,24.9,24.1,22.8,20.8,20.1,20.2,22.3,24,25,24.5,23.9,20.3,23.8,24.7,23.3
1940,24.8,24.9,24.7,23.8,21.9,20.2,19.6,20,21.3,22.6,23.9,24.7,23.5,19.9,22.6,24.6,22.7
1941,24.2,25,24.9,24.5,22.4,20.9,19.8,20.5,21.9,23.3,24.5,25.2,23.9,20.4,23.2,25.5,23.1
1942,25.7,25.7,25.4,24,21.9,20.4,19.4,20.5,21.5,22,24.1,24.6,23.8,20.1,22.5,24.6,22.9
1943,24.7,24.4,24.3,24.1,22,20,19.3,20.3,20.2,22.4,23.9,24.4,23.5,19.9,22.2,24.8,22.5
1944,24.9,25.2,24.5,23.5,21.9,21.1,19.6,20.4,21.6,22.8,24.9,24.8,23.3,20.4,23.1,24.9,22.9
1945,25.4,24.5,25,24.3,22,19.6,19.6,20.1,21.4,23.8,24.3,24.4,23.8,19.8,23.2,25,22.9
1946,25.1,25.4,24.6,23.9,22.1,20.2,19.9,20.4,20.8,23.3,24.2,24.8,23.5,20.2,22.8,25.1,22.9
1947,25.3,25.2,24.3,24.1,22,20.3,20.5,20.1,21.2,22.9,24.3,25.1,23.5,20.3,22.8,25.1,23
1948,25.3,25,24.9,24.4,23.1,20.9,20,20.2,21.3,23.1,24.1,24.2,24.1,20.4,22.8,24.7,23
1949,25.3,24.6,24.5,23.4,22.1,20.3,19.8,20.6,21.6,23.4,24.3,25.2,23.3,20.2,23.1,25,22.9
1950,25.3,24.5,24.5,24.1,21.2,20.2,19.5,20,20.7,22.6,24,24.9,23.3,19.9,22.5,24.4,22.6
1951,24.2,24,23.9,23.5,21.7,20.1,19.5,20.4,21,22.9,23.8,24.7,23,20,22.6,24.8,22.5
1952,24.8,24.8,24.7,23.9,22.5,20.3,19.8,20.3,21.5,22.5,23.1,24.3,23.7,20.1,22.3,24.6,22.7
1953,24.9,24.6,24.5,23.8,22.1,20.8,19.4,19.6,20.8,22.4,23.9,24.7,23.5,20,22.4,24.8,22.6
1954,24.7,25,24.2,23.6,22.2,19.9,19.6,20.2,21.4,22.8,23.7,24.6,23.3,19.9,22.7,24.9,22.7
1955,25.1,24.9,24.3,23.3,21.6,19.9,19.8,19.7,21.1,22.4,23.6,24.5,23,19.8,22.4,24.4,22.5
1956,24.3,24.4,24.7,23.5,21.8,20.2,19.1,20,21.3,22.5,23.5,24.2,23.3,19.7,22.4,24.5,22.4
1957,25,24.2,24.2,23.4,21.6,19.7,19.4,20.1,21.6,23.2,24.2,24.6,23.1,19.7,23,24.9,22.6
1958,25,25.2,24.6,24.2,21.4,20,19.5,20.3,21.7,22.5,24,24.6,23.4,20,22.7,24.8,22.7
1959,24.7,24.9,24.4,23,21.7,20,19.5,20,21.1,22.2,23.9,24.8,23,19.8,22.4,24.8,22.5
1960,24.6,24.9,24.1,23.3,21.7,20.5,19.2,19.9,21.2,22.5,23.4,24.4,23,19.9,22.3,25.1,22.5
1961,25.2,25.6,25.2,24.7,23,21.2,20.7,20.4,21.4,23.2,24.2,24.5,24.3,20.8,23,24.9,23.3
1962,25.3,25,24.7,23.9,21.3,19.8,19.5,20.3,21.2,22.7,24,24.7,23.3,19.8,22.6,24.8,22.7
1963,24.9,24.7,24.5,23.8,21.2,20,19.6,19.2,20.8,22.6,23.6,24.3,23.2,19.6,22.3,24.8,22.4
1964,24.8,25.4,24.8,23.6,21.2,19.8,18.7,19.3,20.7,22.3,23.5,24.1,23.2,19.3,22.2,24.2,22.3
1965,24.1,24.5,23.8,23.1,21.2,19.2,19.3,20,21.2,22.2,23.7,24.3,22.7,19.5,22.4,24.9,22.2
1966,25.2,25.2,24.4,23.7,22.1,20.7,20,20.1,21.8,22.2,23.5,24.6,23.4,20.3,22.5,25,22.8
1967,25,25.4,25.1,24.2,22.6,20.8,20.4,20.3,21.5,23,23.9,24,24,20.5,22.8,24.5,23
1968,24.7,24.7,24.4,23,21.3,19.6,19.5,20,20.9,22.4,23.4,24.4,22.9,19.7,22.3,24.9,22.4
1969,25.1,25.2,25.5,24.7,22.4,20.1,20.3,20.2,21,23.7,24.5,25.2,24.2,20.2,23.1,25.2,23.2
1970,25.1,25.4,24.8,23.3,21.9,20.4,20,20.5,21.4,22.6,24,24.5,23.3,20.3,22.7,24.5,22.8
1971,24.5,24.6,24.3,23.9,21.7,19.5,19.6,19.5,20.7,22.2,23.1,24.2,23.3,19.5,22,24.3,22.3
1972,24.6,24.2,23.8,23.6,22.4,19.6,19.9,20.2,21.2,22.7,23.5,24.8,23.3,19.9,22.5,24.8,22.6
1973,24.9,24.8,24.9,23.5,22,20.2,19.5,19.8,21.1,22.8,23.6,24,23.4,19.8,22.5,24.2,22.6
1974,24.4,24.2,24,23.4,21.8,19.9,19.5,19.5,20.4,22.1,23.5,24.3,23.1,19.6,22,24.4,22.3
